Date,SKU,Sales_Quantity,Current_Stock
2025-09-02,SKU-1001,148,518
2025-09-03,SKU-1001,155,518
2025-09-04,SKU-1001,152,518
2025-09-05,SKU-1001,176,518
2025-09-06,SKU-1001,156,518
2025-09-07,SKU-1001,159,518
2025-09-08,SKU-1001,165,518
2025-09-09,SKU-1001,165,518
2025-09-10,SKU-1001,183,518
2025-09-11,SKU-1001,184,518
2025-09-12,SKU-1001,179,518
2025-09-13,SKU-1001,173,518
2025-09-14,SKU-1001,167,518
2025-09-15,SKU-1001,169,518
2025-09-16,SKU-1001,151,518
2025-09-17,SKU-1001,187,518
2025-09-18,SKU-1001,160,518
2025-09-19,SKU-1001,158,518
2025-09-20,SKU-1001,164,518
2025-09-21,SKU-1001,161,518
2025-09-22,SKU-1001,132,518
2025-09-23,SKU-1001,128,518
2025-09-24,SKU-1001,107,518
2025-09-25,SKU-1001,111,518
2025-09-26,SKU-1001,121,518
2025-09-27,SKU-1001,112,518
2025-09-28,SKU-1001,113,518
2025-09-29,SKU-1001,123,518
2025-09-30,SKU-1001,118,518
2025-10-01,SKU-1001,136,518
2025-10-02,SKU-1001,131,518
2025-10-03,SKU-1001,126,518
2025-10-04,SKU-1001,120,518
2025-10-05,SKU-1001,147,518
2025-10-06,SKU-1001,133,518
2025-10-07,SKU-1001,157,518
2025-10-08,SKU-1001,155,518
2025-10-09,SKU-1001,161,518
2025-10-10,SKU-1001,181,518
2025-10-11,SKU-1001,160,518
2025-10-12,SKU-1001,180,518
2025-10-13,SKU-1001,170,518
2025-10-14,SKU-1001,193,518
2025-10-15,SKU-1001,196,518
2025-10-16,SKU-1001,191,518
2025-10-17,SKU-1001,167,518
2025-10-18,SKU-1001,192,518
2025-10-19,SKU-1001,173,518
2025-10-20,SKU-1001,184,518
2025-10-21,SKU-1001,182,518
2025-10-22,SKU-1001,148,518
2025-10-23,SKU-1001,180,518
2025-10-24,SKU-1001,168,518
2025-10-25,SKU-1001,161,518
2025-10-26,SKU-1001,150,518
2025-10-27,SKU-1001,162,518
2025-10-28,SKU-1001,130,518
2025-10-29,SKU-1001,144,518
2025-10-30,SKU-1001,148,518
2025-10-31,SKU-1001,147,518
2025-11-01,SKU-1001,136,518
2025-11-02,SKU-1001,129,518
2025-11-03,SKU-1001,142,518
2025-11-04,SKU-1001,134,518
2025-11-05,SKU-1001,116,518
2025-11-06,SKU-1001,120,518
2025-11-07,SKU-1001,120,518
2025-11-08,SKU-1001,131,518
2025-11-09,SKU-1001,142,518
2025-11-10,SKU-1001,156,518
2025-11-11,SKU-1001,150,518
2025-11-12,SKU-1001,155,518
2025-11-13,SKU-1001,156,518
2025-11-14,SKU-1001,148,518
2025-11-15,SKU-1001,189,518
2025-11-16,SKU-1001,172,518
2025-11-17,SKU-1001,194,518
2025-11-18,SKU-1001,181,518
2025-11-19,SKU-1001,195,518
2025-11-20,SKU-1001,200,518
2025-11-21,SKU-1001,183,518
2025-11-22,SKU-1001,200,518
2025-11-23,SKU-1001,186,518
2025-11-24,SKU-1001,203,518
2025-11-25,SKU-1001,189,518
2025-11-26,SKU-1001,197,518
2025-11-27,SKU-1001,178,518
2025-11-28,SKU-1001,167,518
2025-11-29,SKU-1001,188,518
2025-11-30,SKU-1001,170,518
2025-12-01,SKU-1001,166,518
2025-12-02,SKU-1001,170,518
2025-12-03,SKU-1001,150,518
2025-12-04,SKU-1001,149,518
2025-12-05,SKU-1001,155,518
2025-12-06,SKU-1001,168,518
2025-12-07,SKU-1001,143,518
2025-12-08,SKU-1001,148,518
2025-12-09,SKU-1001,129,518
2025-12-10,SKU-1001,129,518
2025-12-11,SKU-1001,144,518
2025-12-12,SKU-1001,149,518
2025-12-13,SKU-1001,152,518
2025-12-14,SKU-1001,146,518
2025-12-15,SKU-1001,150,518
2025-12-16,SKU-1001,155,518
2025-12-17,SKU-1001,161,518
2025-12-18,SKU-1001,178,518
2025-12-19,SKU-1001,174,518
2025-12-20,SKU-1001,186,518
2025-12-21,SKU-1001,186,518
2025-12-22,SKU-1001,201,518
2025-12-23,SKU-1001,198,518
2025-12-24,SKU-1001,209,518
2025-12-25,SKU-1001,192,518
2025-12-26,SKU-1001,222,518
2025-12-27,SKU-1001,220,518
2025-12-28,SKU-1001,199,518
2025-12-29,SKU-1001,197,518
2025-12-30,SKU-1001,226,518
2025-12-31,SKU-1001,195,518
2026-01-01,SKU-1001,204,518
2026-01-02,SKU-1001,195,518
2026-01-03,SKU-1001,183,518
2026-01-04,SKU-1001,182,518
2026-01-05,SKU-1001,175,518
2026-01-06,SKU-1001,169,518
2026-01-07,SKU-1001,172,518
2026-01-08,SKU-1001,179,518
2026-01-09,SKU-1001,154,518
2026-01-10,SKU-1001,159,518
2026-01-11,SKU-1001,132,518
2026-01-12,SKU-1001,146,518
2026-01-13,SKU-1001,151,518
2026-01-14,SKU-1001,163,518
2026-01-15,SKU-1001,139,518
2026-01-16,SKU-1001,168,518
2026-01-17,SKU-1001,152,518
2026-01-18,SKU-1001,141,518
2026-01-19,SKU-1001,181,518
2026-01-20,SKU-1001,164,518
2026-01-21,SKU-1001,163,518
2026-01-22,SKU-1001,177,518
2026-01-23,SKU-1001,165,518
2026-01-24,SKU-1001,181,518
2026-01-25,SKU-1001,185,518
2026-01-26,SKU-1001,219,518
2026-01-27,SKU-1001,209,518
2026-01-28,SKU-1001,212,518
2026-01-29,SKU-1001,207,518
2026-01-30,SKU-1001,201,518
2026-01-31,SKU-1001,211,518
2026-02-01,SKU-1001,224,518
2026-02-02,SKU-1001,212,518
2026-02-03,SKU-1001,202,518
2026-02-04,SKU-1001,218,518
2026-02-05,SKU-1001,208,518
2026-02-06,SKU-1001,216,518
2026-02-07,SKU-1001,202,518
2026-02-08,SKU-1001,200,518
